X Y Z
-5.12968e+10 1.26821e+11 5.50005e+10
-5.14028e+10 1.26785e+11 5.4985e+10
-5.15087e+10 1.2675e+11 5.49693e+10
-5.16146e+10 1.26714e+11 5.49537e+10
-5.17205e+10 1.26678e+11 5.4938e+10
-5.18263e+10 1.26642e+11 5.49223e+10
-5.1932e+10 1.26606e+11 5.49065e+10
-5.20377e+10 1.26569e+11 5.48906e+10
-5.21433e+10 1.26533e+11 5.48748e+10
-5.22489e+10 1.26497e+11 5.48589e+10
-5.23544e+10 1.2646e+11 5.48429e+10
-5.24599e+10 1.26424e+11 5.48269e+10
-5.25653e+10 1.26387e+11 5.48109e+10
-5.26706e+10 1.2635e+11 5.47948e+10
-5.27759e+10 1.26313e+11 5.47786e+10
-5.28812e+10 1.26276e+11 5.47625e+10
-5.29864e+10 1.26239e+11 5.47462e+10
-5.30915e+10 1.26202e+11 5.473e+10
-5.31966e+10 1.26165e+11 5.47137e+10
-5.33016e+10 1.26128e+11 5.46974e+10
-5.34066e+10 1.2609e+11 5.4681e+10
-5.35115e+10 1.26053e+11 5.46646e+10
-5.36164e+10 1.26015e+11 5.46481e+10
-5.37212e+10 1.25977e+11 5.46316e+10
-5.38259e+10 1.2594e+11 5.4615e+10
-5.39306e+10 1.25902e+11 5.45985e+10
-5.40353e+10 1.25864e+11 5.45818e+10
-5.41398e+10 1.25826e+11 5.45652e+10
-5.42444e+10 1.25788e+11 5.45485e+10
-5.43488e+10 1.25749e+11 5.45317e+10
-5.44532e+10 1.25711e+11 5.45149e+10
-5.45576e+10 1.25673e+11 5.44981e+10
-5.46619e+10 1.25634e+11 5.44813e+10
-5.47661e+10 1.25596e+11 5.44644e+10
-5.48703e+10 1.25557e+11 5.44474e+10
-5.49745e+10 1.25518e+11 5.44304e+10
-5.50785e+10 1.25479e+11 5.44134e+10
-5.51825e+10 1.25441e+11 5.43964e+10
-5.52865e+10 1.25402e+11 5.43793e+10
-5.53904e+10 1.25362e+11 5.43622e+10
-5.54943e+10 1.25323e+11 5.4345e+10
-5.5598e+10 1.25284e+11 5.43278e+10
-5.57018e+10 1.25245e+11 5.43105e+10
-5.58055e+10 1.25205e+11 5.42933e+10
-5.59091e+10 1.25166e+11 5.42759e+10
-5.60126e+10 1.25126e+11 5.42586e+10
-5.61161e+10 1.25087e+11 5.42412e+10
-5.62196e+10 1.25047e+11 5.42238e+10
-5.6323e+10 1.25007e+11 5.42063e+10
-5.64263e+10 1.24967e+11 5.41888e+10
-5.65296e+10 1.24927e+11 5.41713e+10
-5.66328e+10 1.24887e+11 5.41537e+10
-5.67359e+10 1.24847e+11 5.41361e+10
-5.6839e+10 1.24807e+11 5.41185e+10
-5.69421e+10 1.24767e+11 5.41008e+10
-5.70451e+10 1.24726e+11 5.40831e+10
-5.7148e+10 1.24686e+11 5.40653e+10
-5.72509e+10 1.24645e+11 5.40475e+10
-5.73537e+10 1.24605e+11 5.40297e+10
-5.74565e+10 1.24564e+11 5.40119e+10
